sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP
midi\Counterpoint\test\test-tritone.mid;15;10;239;1/2 after 1/4 or 1/8 in measure;slur forward;5;Low;Rhythm;;1/2 is slurred forward;1;0;1;0
midi\Counterpoint\test\test-tritone.mid;15;14;241;Suspension rhythm;1/2 + 1/4;5;Low;Rhythm;Start (left) and end (right) of suspension note;;1;0;1;0
midi\Counterpoint\test\test-tritone.mid;15;16;58;Leap back;overflow;5;Low;Turns around leap;;After leap there is an immediate returning leap in the opposite direction. This returning leap is longer than initial leap;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;15;20;75;Penultimate measure;no V or II note;5;Low;Counterpoint;;No V or II note;0;30;1;0
midi\Counterpoint\test\test-tritone.mid;15;22;490;Parallel 8ves: < 4/4 apart;downbeat;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;Second interval is downbeat;0;100;0;0
midi\Counterpoint\test\test-tritone.mid;16;8;361;Tritone: adjacent accented;unresolved;5;Low;sp2-5 Tritone;Melodic tritone within measure, last note is long or repeated;;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;16;10;239;1/2 after 1/4 or 1/8 in measure;slur forward;5;Low;Rhythm;;1/2 is slurred forward;1;0;1;0
midi\Counterpoint\test\test-tritone.mid;16;10;19;Audible tritone: framed;unresolved;5;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;16;14;241;Suspension rhythm;1/2 + 1/4;5;Low;Rhythm;Start (left) and end (right) of suspension note;;1;0;1;0
midi\Counterpoint\test\test-tritone.mid;16;20;335;Penultimate measure;not D/DVII;5;Low;Counterpoint;;Penultimate harmony is not D / DVII;0;60;0;0
midi\Counterpoint\test\test-tritone.mid;19;6;19;Audible tritone: framed;unresolved;5;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;19;12;247;Rhythm;repeat;5;Low;Rhythm;;Rhythm repeats in neighboring measures, while there are no croches or less than 4 notes in measure;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;19;20;247;Rhythm;repeat;5;Low;Rhythm;;Rhythm repeats in neighboring measures, while there are no croches or less than 4 notes in measure;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;19;24;249;Parallel 5ths: < 4/4 apart;stepwize;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;One of intervals is approached and left by stepwize movement ;1;0;1;0
midi\Counterpoint\test\test-tritone.mid;19;28;12;Culmination;multi high;5;Low;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;20;0;67;Skipped notes;1;5;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0
midi\Counterpoint\test\test-tritone.mid;20;4;241;Suspension rhythm;1/2 + 1/4;5;Low;Rhythm;Start (left) and end (right) of suspension note;;1;0;1;0
