sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP;Log
midi\Melody\test\test-tritone.mid;8;1;372;Compound tritone framed;unresolved;0;Low;CF/sp1 Tritone;Tritone within measure with one intermediate note, framed by two melody direction changes or leaps;;0;60;0;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;8;7;34;3rd to last note;leading tone;0;Low;Border;Only for cantus firmus;;-1;0;1;0;Imported from midi lyrics
midi\Melody\test\test-tritone.mid;8;1;503;Consecutive unidir. leaps;2 x 3rds;0;Low;Leaps;;;0;60;1;0;2018-04-23 23:16 Global false positive
midi\Counterpoint\test\test-lt.mid;0;5;324;Perfect consonance;LT 8va;3;Low;Counterpoint;;Leading tone harmonic octave for leaping notes and downbeat;0;60;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;0;11;324;Perfect consonance;LT 8va;3;Low;Counterpoint;;Leading tone harmonic octave for leaping notes and downbeat;0;60;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;0;14;324;Perfect consonance;LT 8va;3;Low;Counterpoint;;Leading tone harmonic octave for leaping notes and downbeat;0;60;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;0;14;481;Adjacent 8ves;parallel;3;Low;Counterpoint;;;0;60;1;0;2018-04-24 09:32 Global false positive
midi\Counterpoint\test\test-lt.mid;1;8;488;Parallel 8ves: < 4/4 apart;stepwize;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;One of intervals is approached and left by stepwize movement ;1;0;1;0;2018-04-23 22:23 Global false positive
midi\Counterpoint\test\test-lt.mid;1;14;247;Rhythm;repeat;5;Low;Rhythm;;Rhythm repeats in neighboring measures, while there are no croches or less than 4 notes in measure;0;60;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;1;24;235;Rhythm;1/4 syncope;5;Low;Rhythm;;1/4 on beat 2 or 4 is slurred to next note;0;60;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;1;24;488;Parallel 8ves: < 4/4 apart;stepwize;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;One of intervals is approached and left by stepwize movement ;1;0;1;0;2018-04-23 22:23 Global false positive
midi\Counterpoint\test\test-lt.mid;1;40;404;Adjacent repeat 2 notes;any rhythm;5;Low;Repeats;Two adjacent notes are immediately repeated;;1;0;1;0;2018-04-23 22:23 Global false positive
midi\Counterpoint\test\test-lt.mid;1;42;324;Perfect consonance;LT 8va;5;Low;Counterpoint;;Leading tone harmonic octave for leaping notes and downbeat;0;60;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;1;42;239;1/2 after 1/4 or 1/8 in measure;slur forward;5;Low;Rhythm;;1/2 is slurred forward;1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;1;42;488;Parallel 8ves: < 4/4 apart;stepwize;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;One of intervals is approached and left by stepwize movement ;1;0;1;0;2018-04-23 22:23 Global false positive
midi\Counterpoint\test\test-lt.mid;1;46;242;Suspension rhythm;1/2 + 1/2;5;Low;Rhythm;Start (left) and end (right) of suspension note;;1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;1;50;492;Parallel 8ves: < 4/4 apart;other;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;If other rules in this row did not apply;0;60;1;0;2018-04-23 22:23 Global false positive
midi\Counterpoint\test\test-lt.mid;1;54;242;Suspension rhythm;1/2 + 1/2;5;Low;Rhythm;Start (left) and end (right) of suspension note;;1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;1;58;324;Perfect consonance;LT 8va;5;Low;Counterpoint;;Leading tone harmonic octave for leaping notes and downbeat;0;60;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;1;58;75;Penultimate measure;no V or II note;5;Low;Counterpoint;;No V or II note;0;30;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-lt.mid;1;58;492;Parallel 8ves: < 4/4 apart;other;5;Low;Counterpoint;Two same non-close perfect consonances in neighboring measures less than 4 notes apart;If other rules in this row did not apply;0;60;1;0;2018-04-23 22:23 Global false positive
midi\Counterpoint\test\test-vint.mid;8;1;215;Direct movement to 8va;leap;1;Low;Counterpoint;Direct movement to perfect consonance with leaping motion in higher voice;not cadence;0;40;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;8;4;12;Culmination;multi high;1;Low;Repeats;;Multiple culminations in higher voice;0;100;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;8;4;213;Direct movement to 8va;leap cadence;1;Low;Counterpoint;Direct movement to perfect consonance with leaping motion in higher voice;;1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;8;2;481;Adjacent 8ves;parallel;1;Low;Counterpoint;;;0;60;1;0;2018-04-24 09:33 Global false positive
midi\Counterpoint\test\test-vint.mid;9;1;211;Direct movement to 8va;stepwise;1;Low;Counterpoint;Direct movement to perfect consonance with leaping motion in higher voice;not cadence;0;40;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;9;2;82;Perfect consonance;db. culm.;1;Low;Counterpoint;;Downbeat culmination;-1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;9;4;209;Direct movement to 8va;stepw. cadence;1;Low;Counterpoint;Direct movement to perfect consonance with leaping motion in higher voice;;1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;9;2;481;Adjacent 8ves;parallel;1;Low;Counterpoint;;;0;60;1;0;2018-04-24 09:33 Global false positive
midi\Counterpoint\test\test-vint.mid;10;0;67;Skipped notes;1;1;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;10;0;69;Skipped notes;>1 joined;1;Low;Range;Skipped notes that do not appear within this voice;;0;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;10;1;177;Ascending leap;m7;1;Low;Leaps;;;0;30;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;10;1;62;1skip + close turns around leap;>5th;1;Low;Turns around leap;There is immediate melody direction change after leap, but before leap melody direction changes after one note, which goes in the same direction as leap;;0;100;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;10;1;214;Direct movement to 5th;leap;1;Low;Counterpoint;Direct movement to perfect consonance with stepwize motion in higher voice;not cadence;0;40;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;10;2;82;Perfect consonance;db. culm.;1;Low;Counterpoint;;Downbeat culmination;-1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;10;2;181;Descending leap;m6;1;Low;Leaps;;;-1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;10;2;215;Direct movement to 8va;leap;1;Low;Counterpoint;Direct movement to perfect consonance with leaping motion in higher voice;not cadence;0;40;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;10;4;183;Descending leap;m7;1;Low;Leaps;;;0;30;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;10;4;212;Direct movement to 5th;leap cadence;1;Low;Counterpoint;Direct movement to perfect consonance with stepwize motion in higher voice;;1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;10;5;355;Last harmonic interval;I-V;1;Low;Counterpoint;Low-high note;;0;60;0;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;0;68;Skipped notes;>1;1;Low;Range;Skipped notes that do not appear within this voice;;-1;0;1;0;Imported from midi lyrics
midi\Counterpoint\test\test-vint.mid;11;0;69;Skipped notes;>1 joined;1;Low;Range;Skipped notes that do not appear within this voice;;0;0;1;0;Imported from midi lyrics
