Set;Rid;Species;Voices;Severity;Class;Group;Name;SubName;Accept;Comment;SubComment;Viztype;VI;VC;VH;VS;VT;FQ;CF;GF;IF;DEU;MEI;ER;UE;R
1;142;;;50;Melody;Change of melodic direction around leap;No change of direction after the leap: close + 2skip;5th;0;There is immediate melody direction change before leap, but after leap melody direction changes only after two notes, which go in the same direction as leap;;5;;1;;;;13;3;1;;;;130,512;;
1;143;;;100;Melody;Change of melodic direction around leap;No change of direction after the leap: close + 2skip;>5th;0;There is immediate melody direction change before leap, but after leap melody direction changes only after two notes, which go in the same direction as leap;;5;;1;;;;6;4;1;;;;131,513;;
1;108;;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + >2skip;3rd;-1;There is immediate melody direction change before leap, but after leap melody direction changes after more than two notes, which go in the same direction as leap;;5;;1;;;;73;0;;;;;128,140,510;;
1;109;;;0;Melody;Change of melodic direction around leap;No change of direction after the leap: close + >2skip;4th;0;There is immediate melody direction change before leap, but after leap melody direction changes after more than two notes, which go in the same direction as leap;;5;;1;;;;11;5;1;;;;129,141,511;;
1;110;;;100;Melody;Change of melodic direction around leap;No change of direction after the leap: close + >2skip;5th;0;There is immediate melody direction change before leap, but after leap melody direction changes after more than two notes, which go in the same direction as leap;;5;;1;;;;9;3;1;;;;130,142,512;;
1;111;;;100;Melody;Change of melodic direction around leap;No change of direction after the leap: close + >2skip;>5th;0;There is immediate melody direction change before leap, but after leap melody direction changes after more than two notes, which go in the same direction as leap;;5;;1;;;;2;1;1;;;;131,143,513;;
1;506;35;;0;Melody;Change of melodic direction around leap;No change of direction before the leap: neigh + close;3rd;1;There is immediate melody direction change after leap. Before leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;;;1;;;;;;
1;507;35;;0;Melody;Change of melodic direction around leap;No change of direction before the leap: neigh + close;4th;1;There is immediate melody direction change after leap. Before leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;;;1;;;;;;
1;508;35;;0;Melody;Change of melodic direction around leap;No change of direction before the leap: neigh + close;5th;1;There is immediate melody direction change after leap. Before leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;;;1;;;;;;
1;509;35;;0;Melody;Change of melodic direction around leap;No change of direction before the leap: neigh + close;>5th;1;There is immediate melody direction change after leap. Before leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;;;1;;;;;;
1;59;;;0;Melody;Change of melodic direction around leap;No change of direction before the leap: 1skip + close;3rd;1;There is immediate melody direction change after leap, but before leap melody direction changes after one note, which goes in the same direction as leap;;5;;1;;;;170;0;;;;;;;
1;60;;;0;Melody;Change of melodic direction around leap;No change of direction before the leap: 1skip + close;4th;1;There is immediate melody direction change after leap, but before leap melody direction changes after one note, which goes in the same direction as leap;;5;;1;;;;44;6;;;;;;;
1;61;;;0;Melody;Change of melodic direction around leap;No change of direction before the leap: 1skip + close;5th;1;There is immediate melody direction change after leap, but before leap melody direction changes after one note, which goes in the same direction as leap;;5;;1;;;;38;5;;;;;;;
1;62;;;50;Melody;Change of melodic direction around leap;No change of direction before the leap: 1skip + close;>5th;0;There is immediate melody direction change after leap, but before leap melody direction changes after one note, which goes in the same direction as leap;;5;;1;;;;23;10;1;;;;;;
1;132;;;0;Melody;Change of melodic direction around leap;No change of direction before the leap: >1skip + close;3rd;-1;There is immediate melody direction change after leap, but before leap melody direction changes after more than one note, which go in the same direction as leap;;5;;1;;;;185;0;;;;;;;
1;133;;;0;Melody;Change of melodic direction around leap;No change of direction before the leap: >1skip + close;4th;1;There is immediate melody direction change after leap, but before leap melody direction changes after more than one note, which go in the same direction as leap;;5;;1;;;;70;7;;;;;;;
1;134;;;0;Melody;Change of melodic direction around leap;No change of direction before the leap: >1skip + close;5th;1;There is immediate melody direction change after leap, but before leap melody direction changes after more than one note, which go in the same direction as leap;;5;;1;;;;36;6;;;;;;;
1;135;;;100;Melody;Change of melodic direction around leap;No change of direction before the leap: >1skip + close;>5th;0;There is immediate melody direction change after leap, but before leap melody direction changes after more than one note, which go in the same direction as leap;;5;;1;;;;13;4;1;;;;;;
1;63;;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: 1skip + 1skip;3rd;1;There is one note going in the same direction before and after leap;;5;;1;;;;18;5;1;;;;59,414,506;;
1;64;;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: 1skip + 1skip;4th;0;There is one note going in the same direction before and after leap;;5;;1;;;;6;2;1;;;;60,415,507;;
1;65;;;50;Melody;Change of melodic direction around leap;No change of direction before and after the leap: 1skip + 1skip;5th;0;There is one note going in the same direction before and after leap;;5;;1;;;;7;2;1;;;;61,416,508;;
1;66;;;100;Melody;Change of melodic direction around leap;No change of direction before and after the leap: 1skip + 1skip;>5th;0;There is one note going in the same direction before and after leap;;5;;1;;;;2;2;1;;;;62,417,509;;
1;391;;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: 1skip + >1skip;3rd;1;There is one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;15;0;;;;;59,63,414,506;;
1;392;;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: 1skip + >1skip;4th;0;There is one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;1;0;;;;;60,64,415,507;;
1;393;;;50;Melody;Change of melodic direction around leap;No change of direction before and after the leap: 1skip + >1skip;5th;0;There is one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;5;1;;;;;61,65,416,508;;
1;394;;;100;Melody;Change of melodic direction around leap;No change of direction before and after the leap: 1skip + >1skip;>5th;0;There is one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;1;0;;;;;62,66,417,509;;
1;148;;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: >1skip + 1skip;3rd;1;There is more than one note going in the same direction before leap and one note going in the same direction after leap;;5;;1;;;;20;1;;;;;132;;
1;149;;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: >1skip + 1skip;4th;0;There is more than one note going in the same direction before leap and one note going in the same direction after leap;;5;;1;;;;5;2;1;;;;133;;
1;150;;;100;Melody;Change of melodic direction around leap;No change of direction before and after the leap: >1skip + 1skip;5th;0;There is more than one note going in the same direction before leap and one note going in the same direction after leap;;5;;1;;;;4;2;1;;;;134;;
1;151;;;100;Melody;Change of melodic direction around leap;No change of direction before and after the leap: >1skip + 1skip;>5th;0;There is more than one note going in the same direction before leap and one note going in the same direction after leap;;5;;1;;;;0;0;1;;;;135;;
1;398;;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: >1skip + >1skip;3rd;1;There is more than one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;6;0;;;;;132,148;;
1;399;;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: >1skip + >1skip;4th;0;There is more than one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;1;1;;;;;133,149;;
1;400;;;100;Melody;Change of melodic direction around leap;No change of direction before and after the leap: >1skip + >1skip;5th;0;There is more than one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;3;3;;;;;134,150;;
1;401;;;100;Melody;Change of melodic direction around leap;No change of direction before and after the leap: >1skip + >1skip;>5th;0;There is more than one note going in the same direction before leap and more than one note going in the same direction after leap;;5;;1;;;;1;1;;;;;135,151;;
1;414;35;;0;Melody;Change of melodic direction around leap;No change of direction before and after the leap: neigh + neigh;3rd;1;Before and after leap there is neighbor tone, then ending leap note repeats and then there is movement inside leap.;;5;;1;;;;72;5;;;;;506;;
